stock_id,symbol,isin,first_seen
9927,AVALON,INE0LCL01028,2026-09-07
11547,AVANCE,INE758A01072,2026-09-07
9753,AVANTEL,INE005B01027,2026-09-07
141,AVANTIFEED,INE871C01038,2026-09-07
11461,AVG,INE680Z01018,2026-09-07
9324,AVL,INE679V01027,2026-09-07
11148,AVONMORE,INE323B01024,2026-09-07
10487,AVROIND,INE652Z01025,2026-09-07
142,AVTNPL,INE488D01021,2026-09-07
9967,AWFIS,INE108V01019,2026-09-07
9344,AWHCL,INE01BK01022,2026-09-07
10980,AWL,INE699H01024,2026-09-07
143,AXISBANK,INE238A01034,2026-09-07
11982,AXISBNKETF,,2026-09-07
11983,AXISBPSETF,,2026-09-07
144,AXISCADES,INE555B01013,2026-09-07
11985,AXISCETF,,2026-09-07
145,AXISGOLD,,2026-09-07
11987,AXISHCETF,,2026-09-07
11988,AXISILVER,,2026-09-07
146,AXISNIFTY,,2026-09-07
11990,AXISTECETF,,2026-09-07
838540,AXISVALUE,,2026-09-07
10993,AXITA,INE02EZ01022,2026-09-07
11992,AXSENSEX,,2026-09-07
11773,AXTEL,INE767C01012,2026-09-07
11416,AYE,INE501X01029,2026-09-07
147,AYMSYNTEX,INE193B01039,2026-09-07
9576,AZAD,INE02IJ01035,2026-09-07
10839,AZADIND,INE566M01017,2026-09-07
148,BAFNAPH,INE878I01022,2026-09-07
149,BAGFILMS,INE116D01028,2026-09-07
9342,BAIDFIN,INE020D01022,2026-09-07
150,BAJAJ-AUTO,INE917I01010,2026-09-07
151,BAJAJCON,INE933K01021,2026-09-07
152,BAJAJELEC,INE193E01025,2026-09-07
153,BAJAJFINSV,INE918I01026,2026-09-07
11818,BAJAJHCARE,INE411U01027,2026-09-07
10390,BAJAJHFL,INE377Y01014,2026-09-07
154,BAJAJHIND,INE306A01021,2026-09-07
155,BAJAJHLDNG,INE118A01012,2026-09-07
11069,BAJAJINDEF,INE0O9T01021,2026-09-07
9991,BAJAJST,INE704G01024,2026-09-07
9418,BAJEL,INE0KQN01018,2026-09-07
156,BAJFINANCE,INE296A01032,2026-09-07
9908,BALAJEE,INE0S2G01011,2026-09-07
157,BALAJITELE,INE794B01026,2026-09-07
158,BALAMINES,INE050E01027,2026-09-07
10554,BALAXI,INE618N01022,2026-09-07
159,BALKRISHNA,INE875R01011,2026-09-07
160,BALKRISIND,INE787D01026,2026-09-07
161,BALLARPUR,,2026-09-07
162,BALMLAWRIE,INE164A01016,2026-09-07
163,BALPHARMA,INE083D01012,2026-09-07
